gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group A,some college,free/reduced,none,64,61,64
male,group A,some college,standard,none,76,73,73
female,group A,some college,standard,none,81,81,84
female,group E,associate's degree,standard,none,71,74,76
female,group D,bachelor's degree,free/reduced,completed,97,91,94
male,group E,master's degree,free/reduced,none,72,71,72
female,group D,high school,free/reduced,completed,85,89,87
female,group E,master's degree,free/reduced,none,59,56,61
female,group E,master's degree,standard,none,86,82,82
male,group C,some high school,standard,none,61,59,60
female,group E,bachelor's degree,standard,none,73,72,77
female,group B,some high school,free/reduced,completed,80,82,81
female,group C,bachelor's degree,standard,completed,100,100,100
female,group E,bachelor's degree,free/reduced,completed,91,96,90
male,group A,some college,free/reduced,completed,81,77,82
female,group B,associate's degree,standard,none,87,84,87
male,group B,some college,standard,completed,95,98,95
male,group B,associate's degree,standard,completed,100,100,100
male,group C,some high school,free/reduced,none,56,60,55
female,group E,associate's degree,free/reduced,none,75,74,74
male,group E,some high school,standard,none,56,58,58
female,group A,master's degree,standard,none,88,89,92
male,group A,master's degree,free/reduced,completed,86,83,85
male,group B,associate's degree,standard,completed,85,88,90
male,group A,associate's degree,free/reduced,none,63,62,59
male,group C,some high school,free/reduced,none,49,52,54
male,group E,some college,standard,none,80,78,78
male,group B,some high school,standard,completed,94,94,91
male,group A,some college,standard,completed,85,88,90
male,group C,master's degree,standard,none,84,83,85
female,group C,bachelor's degree,free/reduced,none,68,69,71
female,group A,associate's degree,free/reduced,completed,91,90,88
male,group E,some college,free/reduced,none,58,55,58
male,group A,some high school,standard,none,69,68,65
male,group B,master's degree,free/reduced,completed,88,82,89
female,group A,some college,standard,none,83,80,82
male,group C,some high school,standard,completed,82,88,85
female,group A,associate's degree,standard,none,75,74,74
female,group E,associate's degree,standard,none,69,75,74
female,group D,high school,standard,completed,90,92,95
female,group A,bachelor's degree,standard,completed,100,100,100
female,group E,high school,free/reduced,none,60,63,57
male,group E,master's degree,standard,completed,100,100,100
male,group C,some college,free/reduced,none,58,57,60
male,group E,master's degree,free/reduced,none,58,56,57
